claim_id,claim,theme,url
C1,"The pandemic was planned, and a document that shows a timeline for the new COVID-19 variants with logos of WHO, Gates Foundation, Johns Hopkins and WEF proves it.",Covid-19,https://edmo.eu/wp-content/uploads/2021/12/Sixth_Fact-Checking_Report_Dec_2021_V.pdf
C2,Scientific studies demonstrate that Ivermectin is an effective medicine against COVID-19.,Covid-19,https://edmo.eu/wp-content/uploads/2021/09/Third_Fact-Checking_Report_Sep_2021_V.pdf
C3,"The Delta variant is deadlier for people vaccinated against COVID-19, according to British health authorities.",Covid-19,https://edmo.eu/wp-content/uploads/2021/08/Second_Fact-Checking_Report_August_2021_V.pdf
C4,Reports of heart attacks among football players increased five times because of the COVID-19 vaccination.,Vaccine,https://edmo.eu/wp-content/uploads/2022/01/Seventh_Fact-Checking_Report_Jan_2022_V-.pdf
C5,British authorities admitted that the COVID-19 vaccines have permanently damaged people’s natural immune system.,Vaccine,https://edmo.eu/wp-content/uploads/2022/02/Eighth_Fact-Checking_Report_Feb_2022_V.pdf
C6,People vaccinated against COVID-19 cannot donate blood.,Vaccine,https://edmo.eu/wp-content/uploads/2021/07/First_Fact-Checking_Report_July_2021_%CE%97.pdf
C7,Studies have proved that having an abortion increases a woman's risk of developing breast cancer.,Abortion,https://www.snopes.com/fact-check/abortion-breast-cancer-link/
C8,Abortion was the 'Leading Cause of Death' in 2018 in the US.,Abortion,https://www.snopes.com/news/2019/01/03/abortion-leading-cause-of-death/
C9,Abortion causes infertility.,Abortion,https://www.sciencedirect.com/science/article/pii/S1049386723001214
C10,Eating carrots improve your vision.,AM,https://www.snopes.com/fact-check/does-eating-carrots-improve-vision/
C11,Drinking Tequila Provides Many Health Benefits.,AM,https://www.snopes.com/fact-check/drinking-tequila-health-benefits/
C12,"Lemons kill cancer cells and are 10,000 times stronger than chemotherapy",AM,https://www.snopes.com/fact-check/lemon-cancer-cure/
C13,The European Commission is considering a ban on repairing vehicles over 15 years old.,Laws,https://edmo.eu/wp-content/uploads/2024/04/EDMO-34-Horizontal.pdf
C14,EU wants to conceal the presence of the insects in products with the intent to force its citizens to eat insects.,Laws,https://edmo.eu/publications/eu-with-a-side-of-insects-a-delicious-treat-for-disinformers/
C15,The EU Commission prohibited the use of the term Christmas.,Laws,https://edmo.eu/wp-content/uploads/2023/11/EDMO-31-Horizontal.pdf
C16,EU Commission President Ursula von der Leyen is related to a Nazi official.,EU Figures,https://edmo.eu/wp-content/uploads/2024/04/EDMO-34-Horizontal.pdf
C17,President Emmanuel Macron canceled a visit to Kyiv because of a Ukrainian plot to kill him.,EU Figures,https://edmo.eu/wp-content/uploads/2024/03/EDMO-33-Horizontal.pdf
C18,Ukrainian President Volodymyr Zelensky purchased a villa near Berlin that belonged to Nazi propaganda minister Joseph Goebbels.,EU Figures,https://edmo.eu/wp-content/uploads/2024/02/EDMO-32-Horizontal.pdf
C19,President Obama Banned Muslims from Entering the United States in 2011,Immigration,https://www.snopes.com/fact-check/president-obama-ban-muslims-2011/
C20,Mohammed is now the most popular name for newborn boys in the Netherlands thanks to immigration.,Immigration,https://www.snopes.com/fact-check/is-mohammed-popular-name-netherlands/
C21,A major Hepatitis A outbreak in San Diego has been pinned on undocumented immigrants there.,Immigration,https://www.snopes.com/fact-check/hepatitis-a-outbreak-in-san-diego/
C22,Donald Trump Donated $100k to Anti-Gay Hate Group Instead of Louisiana Flood Victims.,Trump,https://www.snopes.com/fact-check/donald-trump-donated-100k-la/
C23,Donald Trump ex-wives admitted that the Republican Presidential candidate forced them to have abortions.,Trump,https://www.snopes.com/fact-check/donald-trump-ex-wives-abortions/
C24,Donald Trump said that he would revoke U.S. citizenship from all Puerto Ricans if elected president.,Trump,https://www.snopes.com/fact-check/donald-trump-puerto-ricans/
